SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
GAIL,"170.65","559","171.25","171.39","20","-","-","0.59","0.35","171.24","7,846","0.13","46,061.05","-","-","186.87","134.36"
IDFCFIRSTB,"85.01","315","84.75","84.81","105","-","-","-0.26","-0.31","84.75","15,723","0.13","56,127.80","-","-","88.76","58.08"
NESTLEIND,"1,384.50","282","1,384.50","1,385.00","1","-","-","-","-","1,384.50","938","0.13","98,992.50","-","-","1,553.00","1,145.00"
UNIONBANK,"178.20","88","176.80","177.00","515","-","-","-1.20","-0.67","177.00","6,952","0.12","34,105.95","-","-","205.49","133.00"
TATACONSUM,"1,000.10","746","1,003.10","1,003.30","3","-","-","3.00","0.30","1,003.10","1,222","0.12","65,144.39","-","-","1,282.70","986.00"
BAJAJFINSV,"1,837.00","142","1,837.00","1,843.00","2","-","-","-","-","1,837.00","661","0.12","1,06,150.59","-","-","2,195.00","1,597.00"
IEX,"112.00","37","111.82","111.86","156","-","-","-0.18","-0.16","111.82","10,737","0.12","8,862.27","-","-","160.27","110.35"
NHPC,"75.41","1,500","75.55","75.61","3,734","-","-","0.20","0.27","75.61","15,695","0.12","28,418.55","-","-","89.22","71.62"
MARICO,"810.15","53","810.15","810.20","3","-","-","-","-","810.15","1,441","0.12","42,823.11","-","-","889.10","690.30"
APOLLOHOSP,"8,696.50","13","8,703.00","8,707.00","26","-","-","10.50","0.12","8,707.00","133","0.12","89,353.21","-","-","9,050.00","6,696.50"
LODHA,"1,087.40","5","1,078.00","1,080.00","774","-","-","-7.40","-0.68","1,080.00","1,072","0.12","29,886.07","-","-","1,344.95","650.80"
MPHASIS,"2,316.70","167","2,304.00","2,315.00","250","-","-","-12.70","-0.55","2,304.00","502","0.12","30,415.22","-","-","3,037.20","2,013.00"
HAVELLS,"1,089.90","851","1,089.90","1,092.00","1,500","-","-","-","-","1,089.90","1,045","0.11","27,390.71","-","-","1,621.10","1,081.10"
INDUSTOWER,"375.60","805","377.10","377.50","129","-","-","1.50","0.40","377.10","2,909","0.11","48,452.34","-","-","481.50","337.80"
HDFCAMC,"2,373.10","54","2,378.10","2,379.10","8","-","-","5.00","0.21","2,378.10","456","0.11","48,367.46","-","-","2,967.25","2,205.60"
LICHSGFIN,"543.00","1,380","542.05","542.20","16","-","-","-0.95","-0.17","542.05","1,992","0.11","16,251.54","-","-","598.20","458.90"
ABB,"6,980.00","38","6,980.00","6,994.00","6","-","-","-","-","6,980.00","154","0.11","36,527.18","-","-","7,924.50","4,637.50"
TORNTPHARM,"4,812.50","30","4,805.00","4,810.00","9","-","-","-2.50","-0.05","4,810.00","222","0.11","70,360.30","-","-","5,250.00","3,480.60"
COLPAL,"1,860.00","356","1,861.00","1,864.60","5","-","-","1.00","0.05","1,861.00","558","0.10","24,445.96","-","-","2,379.20","1,782.00"
SBILIFE,"1,697.90","10","1,690.00","1,693.00","182","-","-","-4.90","-0.29","1,693.00","604","0.10","75,870.79","-","-","2,132.00","1,652.90"
NBCC,"81.41","7,322","81.40","81.41","6,938","-","-","-","-","81.41","12,393","0.10","8,405.82","-","-","125.85","77.18"
INDIANB,"840.00","10","841.60","842.00","21","-","-","2.00","0.24","842.00","1,175","0.10","29,672.49","-","-","1,000.90","692.15"
IREDA,"108.40","416","108.30","108.38","894","-","-","-0.02","-0.02","108.38","8,987","0.10","8,598.53","-","-","163.35","107.40"
SAGILITY,"45.02","3,709","45.00","45.02","3,255","-","-","-","-","45.02","21,270","0.10","10,337.50","-","-","57.89","35.83"
PRESTIGE,"1,424.00","45","1,424.00","1,424.50","3","-","-","-","-","1,424.00","668","0.10","23,953.36","-","-","1,805.20","1,090.00"
MAXHEALTH,"1,025.00","67","1,022.10","1,025.00","57","-","-","-2.90","-0.28","1,022.10","878","0.09","75,860.83","-","-","1,221.90","903.00"
MAHABANK,"80.21","5,530","80.29","80.34","132","-","-","0.08","0.10","80.29","11,019","0.09","16,302.77","-","-","94.50","53.85"
AMBER,"6,930.00","3","6,902.00","6,918.00","38","-","-","-12.00","-0.17","6,918.00","127","0.09","15,075.50","-","-","8,974.00","5,400.50"
KEI,"4,506.00","1","4,490.00","4,498.00","138","-","-","-8.00","-0.18","4,498.00","189","0.09","27,683.15","-","-","5,899.00","3,728.70"
HYUNDAI,"2,155.00","925","2,150.00","2,151.80","8","-","-","-5.00","-0.23","2,150.00","395","0.08","30,570.46","-","-","2,890.00","1,658.00"
BHARATFORG,"1,885.00","5","1,886.00","1,890.00","125","-","-","0.90","0.05","1,885.90","443","0.08","50,127.14","-","-","2,295.00","1,179.00"
DLF,"622.80","298","623.05","623.30","25","-","-","0.25","0.04","623.05","1,310","0.08","39,857.93","-","-","794.80","489.40"
PIDILITIND,"1,543.80","2","1,541.00","1,543.00","67","-","-","-0.80","-0.05","1,543.00","522","0.08","47,684.00","-","-","1,707.50","1,259.00"
BAJAJHLDNG,"10,930.00","5","10,925.00","10,928.00","37","-","-","-2.00","-0.02","10,928.00","70","0.08","47,182.96","-","-","13,880.00","8,588.00"
ABCAPITAL,"381.30","281","382.05","382.90","60","-","-","0.70","0.18","382.00","1,996","0.08","32,751.43","-","-","430.70","277.70"
BRITANNIA,"4,999.50","5","4,995.50","4,997.00","100","-","-","-3.50","-0.07","4,996.00","151","0.08","58,685.50","-","-","6,271.00","4,933.00"
MFSL,"1,487.60","23","1,474.10","1,480.00","83","-","-","-7.50","-0.50","1,480.10","507","0.08","39,147.69","-","-","1,892.50","1,423.60"
ALKEM,"5,175.00","100","5,175.00","5,183.50","1","-","-","-","-","5,175.00","138","0.07","30,196.80","-","-","5,933.50","5,051.00"
JSWENERGY,"504.70","739","505.00","505.85","84","-","-","0.30","0.06","505.00","1,386","0.07","30,867.21","-","-","617.35","427.75"
ICICIPRULI,"470.00","233","470.00","470.80","19","-","-","-","-","470.00","1,487","0.07","18,547.22","-","-","706.80","455.30"
GODFRYPHLP,"1,934.00","3","1,941.40","1,942.60","55","-","-","7.40","0.38","1,941.40","350","0.07","7,906.53","-","-","3,947.00","1,832.10"
MANAPPURAM,"319.90","162","318.85","318.90","70","-","-","-1.05","-0.33","318.85","2,118","0.07","17,451.27","-","-","381.55","245.15"
CIPLA,"1,358.00","50","1,360.10","1,362.50","105","-","-","4.50","0.33","1,362.50","491","0.07","76,452.48","-","-","1,673.00","1,165.70"
JUBLFOOD,"471.00","200","467.30","469.95","1,619","-","-","-1.05","-0.22","469.95","1,419","0.07","18,343.22","-","-","637.30","408.55"
DABUR,"382.00","1,736","382.40","382.90","100","-","-","0.40","0.10","382.40","1,738","0.07","22,517.11","-","-","542.80","368.05"
BANKINDIA,"137.81","1,671","137.91","138.00","1,020","-","-","0.10","0.07","137.91","4,817","0.07","16,711.90","-","-","178.36","116.00"
GRASIM,"3,187.00","494","3,191.00","3,193.00","5","-","-","3.00","0.09","3,190.00","206","0.07","1,20,027.30","-","-","3,411.10","2,502.50"
